BeerID|Beer|Brewer|Aroma|Appearance|Taste|Palate|Overall|MyScore|Comments|Date|Country|State|City|Style
12699|Three Hearts Påskebrygd Extra Brew|Krönleins Bryggeri|6|4|5|3|12|3|Medium beige head.  Clear deep dark brown body with light carbonation.  Minty musty earthy aroma with spicy caramelly notes.  Sweetish earthy sugary soy sauce taste with spicy notes. Mid-bodied.  Mild, soft mouthfeel.  Dryish spicy earthy papery aftertaste with sugary fluffy notes.  It's OK.  &#40;0.5l bottle, Systembolaget, Charlottenberg.&#41;|3/15/2013 3:35:27 PM|Sweden||Halmstad|Dunkler Bock
151794|Adnams Southwold Bitter (Bottle/Can)|Adnams|6|4|6|3|12|3.1|Medium beige head.  Deep amber body with carbonation.  Caramelly earthy buttery aroma with nutty notes.  Dryish caramelly nutty taste with spicy buttery notes.  Mid-to-light body.  Mild, soft mouthfeel.  Dryish spicy nutty malty aftertaste with soy sauce notes.  Nice, if a bit simple.  &#40;0.5l can, Systembolaget Charlottenberg.&#41;|3/15/2013 12:00:17 PM|England|Suffolk|Southwold|Bitter
186012|Mariestads Alkoholfri|Spendrups Bryggeri|6|4|5|3|10|2.8|Medium white head.  Clear amber body with carbonation.  Strawy citrusy aroma with milky notes.  Dry citrusy strawy taste with milky grainy notes.  Mid-to-light body.  Mildish mouthfeel. Dryish grainy citrusy aftertaste with catty papery notes.  It's not bad at all.  &#40;0.33l bottle, Systembolaget Charlottenberg.&#41; |3/12/2013 12:49:25 AM|Sweden||Grängesberg|Low Alcohol
3954|Bornem Dubbel|Brouwerij Van Steenberge|6|4|6|3|12|3.1|Medium beige head.  Clear deep dark ruby red body with light carbonation.  Spicy malty bubblegum aroma with alcohol and licorice notes.  Sweet-dryish malty licorice taste with spicy peppery notes.  Mid-bodied.  Hot mouthfeel.  Dryish bubble gum and dried fruit aftertaste with fluffy sugary spicy notes.  Kind of flat and empty, lacking in depth. &#40;0.33l bottle, wine monopoly, Vika, Oslo.&#41;|3/9/2013 2:48:45 PM|Belgium||Ertvelde|Abbey Dubbel
106005|Rosita Negra Amb Avellanes D'Alcover|Cerveses La Gardènia|6|4|5|3|11|2.9|Medium beige head.  Opaque black body.  Roasty resiny papery aroma with chalky grainy notes.  Dry sooty taste with faint fruity notes.  Mid-bodied.  Mild, chalky mouthfeel.  Dry roasty chocolatey aftertaste with mealy fruity resiny notes.  Kind of simple and straightforward, but no real off flavours.  &#40;0.33l bottle, wine monopoly, Vika, Oslo.&#41;|3/9/2013 2:48:04 PM|Spain||Alcover - Tarragona|Brown Ale
59123|Chang Beer |Thai Beverages|4|3|5|3|8|2.3|Small white head.  Yellow body with light carbonation.  Light papery, sugary aroma.  Dry-sweet strawy herbal taste with papery notes.  Mid-to-light body.  Mild, soft mouthfeel.  Dryish herbal cardboard aftertaste with mealy notes.  It could be a lot worse, and without the papery/cardboardy flavours it would be quite nice.  A bit limp, too. &#40;0.33l bottle, Rimi Østre Strøm, Rælingen.&#41;|3/9/2013 12:08:10 PM|Thailand||Phra Nakhon Sri Ayutthaya Province|Pale Lager
176009|To Øl Sans Frontière|To Øl|6|4|7|3|14|3.4|Big offwhite head.  Clear amber body with carbonation.  Funky dried fruit and barnyard aroma with spicy orangey wooden notes. Dry-sweetish spicy peppery mealy taste with funky dried fruit notes.  Mid-bodied.  Mild, mealy mouthfeel.  Dry resiny funky herbal aftertaste with cardamom and eucalyptus notes.  Nice, interesting, and highly drinkable.  &#40;0.75l bottle, from Kihoskh, Copenhagen.&#41;|3/8/2013 2:16:35 PM|Denmark||Copenhagen|Belgian Ale
115|Boulevard Bully&#033; Porter|Boulevard Brewing Company|6|4|6|3|13|3.2|Medium beige head.  Clear, deep dark red body with light carbonation.  Roasty earthy spicy aroma with raisins and chocolate notes.  Dryish earthy roasty taste with spicy notes. Mid-bodied.  Mild, soft mouthfeel.  Dry roasty spicy licorice aftertaste with soy sauce and chocolate notes.  Lingering harshly bitter spice finish lingers.  It's nice, but not great.  &#40;0.355l bottle, wine monopoly, Vika, Oslo.&#41;|3/8/2013 12:33:12 PM|United States|Missouri|Kansas City|Porter
172207|BrewDog Dead Pony Club|BrewDog|6|4|6|3|12|3.1|Medium offwhite head.  Hazy amber body with light carbonation. Catty mango aroma with faint dried durian notes.  Dry-sweet pineapple taste with salty mango notes.  Light body.  Mildish mouthfeel.  Dryish salty mango and resin aftertaste with catty oily notes. Long lingering resiny finish.  It's quite nice, and far less harsh than one would assume, given the low ABV and high alcohol. Really quite a feat to make this.  &#40;0.33l bottle, Meny Oslo City.&#41;|3/8/2013 11:13:48 AM|Scotland||Ellon, Aberdeenshire|American Pale Ale
16|Alaskan Smoked Porter|Alaskan Brewing Company|7|4|7|3|14|3.5|Medium beige head. Opaque black body. Roasty charcoal smoke aroma with earthy caramelly notes. Dry-sweet licorice charcoal smoky taste with chalky burnt notes. Mid-bodied. Mild, mealy mouthfeel. Dryish smoky licorice and chocolate aftertaste with mealy sooty notes. Nice, harmonic, and drinkable. &#40;0.65l bottle shared by KnutAlbert.&#41;|3/1/2013 12:33:07 PM|United States|Alaska|Juneau|Smoked
130775|Alvinne Freaky|Picobrouwerij Alvinne|7|3|6|3|12|3.1|Huge head risese and threatens to overflow the glass.  Hazy yellow body with carbonation. Light floral coriander aroma with herbal spicy notes. Dry fruity coriander and spice taste with mealy notes. Mid-bodied. Mild, mealy mouthfeel. Dry-bitter mealy spicy coriander aftertaste. A bit mealy and bitter, but still nice. &#40;0.33l bottle shared by Ole_R.&#41;|3/1/2013 12:31:28 PM|Belgium||Moen|Bitter
136585|BraufactuM Oscur|BraufactuM (Oetker Group)|5|4|6|4|14|3.3|Big brown head.  Opaque black body goes deep hazy brown at edges. Earthy chocolatey aroma, very faint.  Dry-sweet earthy chocolatey taste with mealy roasty dusty notes.  Mid-bodied.  Mild, soft, fluffy mouthfeel.  Dry-sweet toffee and chocolate aftertaste with dusty rye crisp bread notes.  Really nice.  Well balanced, harmonic, and vivid.  &#40;0.33l bottle, from Das Meisterstück, Berlin.&#41;|3/1/2013 11:35:08 AM|Germany|Hesse|Frankfurt|Baltic Porter
112129|Gusswerk Urban-Keller's Steinbier|Brauerei Gusswerk|6|4|6|3|13|3.2|Medium offwhite head.  Clear amber body with strong carbonation. Caramelly earthy aroma with spicy sugary notes.  Dry-sweet earthy caramelly taste with spicy notes.  Mid-bodied.  Mild, soft mouthfeel.  Dry earthy rye crisp bread and caramel aftertaste with papery notes.  A bit old &#40;BBD August 2012&#41;, should have had it before.  &#40;0.33l bottle, from Absinth Depot, Berlin.&#41;|3/1/2013 11:33:51 AM|Austria||Salzburg|Oktoberfest/Märzen
2245|Chang Classic (Lager)|Thai Beverages|4|3|4|3|8|2.2|Big white head.  Clear yellow body with strong carbonation. Faint mealy papery aroma.  Dry-sweetish earthy grassy taste with oily notes.  Mid-to-light body.  Sharpish mouthfeel.  Harshly dryish grassy oily aftertaste with papery alcoholic notes.  Not really very nice.  &#40;0.33l can, gift from the wife.&#41;|3/1/2013 9:11:28 AM|Thailand||Phra Nakhon Sri Ayutthaya Province|Malt Liquor
183314|BrewDog Abstrakt AB:11|BrewDog|6|4|7|3|14|3.4|Medium beige head.  Opaque black body goes deep dark hazy brown at edge.  Herbal dried fruit aroma with meaty cloves notes. Dry-sweet intensely spicy cardamom and cinnamon taste with chocolatey laquer and tropical wood notes.  Full-bodied. Soft, yet quite hot and spicy mouthfeel.  Dry-sweetish spicy cardamom and lacquer aftertaste with alcoholic cardamom, cloves and lavender notes.  Nice.  Highly drinkable, harmonic, and interesting, even if it is a bit high in alcohol.  &#40;0.375l bottle, wine monopoly, Vika, Oslo.&#41;|2/24/2013 12:30:31 AM|Scotland||Ellon, Aberdeenshire|Barley Wine
819|Goose Island Christmas Ale|Goose Island Beer Company (AB-InBev)|7|4|7|4|14|3.6|Medium offwhite head.  Hazy reddish brown body with light carbonation.  Deep spicy perfumy sherry aroma with herbal linoleum and honey notes.  Dryish cardamom and honey taste with perfumy spicy soy sauce notes.  Mid-to-full body.  Mild, soft, smooth mouthfeel.  Dry honey and soy sauce aftertaste with spicy cardamom and cloves notes, with a background of linoleum and chocolate.  Really nice.  Well balanced and harmonic.  &#40;0.65l bottle, from ... I forget where. 2009 vintage.&#41;|2/24/2013 12:29:53 AM|United States|Illinois|Chicago|Brown Ale
185266|Motörhead Bastards Lager|Krönleins Bryggeri|5|4|5|3|10|2.7|Big offwhite head.  Clear coppery body with light carbonation. Light fruity perfumy aroma.  Dry-sweetish papery dried fruit taste with mealy notes.  Mid-to-light body.  Mild, mealy mouthfeel.  Dryish caramelly perfumy strawy aftertaste leaving lingering mealy traces.  It's not bad, but tastes a little old, and is certainly not great. &#40;0.33l bottle, Meny Oslo City.&#41;|2/24/2013 12:28:40 AM|Sweden||Halmstad|Pale Lager
166447|Chang Export|Thai Beverages|5|3|4|2|9|2.3|Medium coarseish white.  Clear yellow body with light carbonation.  Papery sugary aroma with fruity mealy notes. Dry-sweetish mealy vaguely grainy taste.  Empty, fluffy mouthfeel.  Mid-to-light body.  Dryish papery mealy aftertaste. Not very pleasant, but not really bad, either. &#40;0.33l can, gift from the wife.&#41;|2/24/2013 12:28:02 AM|Thailand||Phra Nakhon Sri Ayutthaya Province|Pale Lager
172099|Evil Twin Kiwi Imperial Pils|Evil Twin Brewing|7|4|6|3|13|3.3|Medium offwhite head.  Hazy amber body with light carbonation. Strawy earthy gooseberry aroma with spice pineapple notes. Dry-sweetish spicy wooden cumin taste with strawberry alcohol notes. Fullish body. Slightly hot mouthfeel.  Dryish pineapple and alcohol aftertaste with resiny strawy strawberry notes. Nice, drinkable, interesting. &#40;0.33l bottle, wine monopoly, Vika, Oslo.&#41;|2/22/2013 3:29:45 PM|Denmark||Copenhagen / Brooklyn|Strong Pale Lager/Imperial Pils
139988|Orkney Corncrake Ale|Orkney (Sinclair Breweries)|6|4|6|4|13|3.3|Medium white head.  Clear yellow body with light carbonation. Light lemony, strawy aroma with soapy notes.  Dry-sweet strawy lemon zest taste with mealy grainy notes.  Mid-to-light body. Mild, soft mouthfeel.  Dryish strawy lemon zest aftertaste with mealy spicy metallic notes.  Highly drinkable.  Great session beer.  &#40;0.5l bottle, Meny Oslo City.&#41;|2/22/2013 3:28:56 PM|Scotland||Stromness|Golden Ale/Blond Ale
113419|Sambrooks Junction|Sambrooks|6|4|7|4|14|3.5|Medium beige head.  Clear amber body with carbonation.  Roasty toffee aroma with nutty caramelly fruity notes.  Dry-sweet nutty earthy caramelly taste with roasty dried fruit notes. Mid-bodied.  Mild, soft mouthfeel.  Dryish caramelized sugar and toffee aftertaste with earthy resiny wooden dried fruit and spice notes.  The finish lingers for a long time, with traces of rye crisp bread.  Complex, interesting, highly drinkable. A very good beer.  &#40;0.5l bottle, Meny Oslo City.&#41;|2/18/2013 12:39:06 AM|England|Greater London|London|Bitter
183313|BrewDog / Ballast Point San Diego Scotch Ale|BrewDog|6|4|7|3|13|3.3|Medium brown head.  Hazy opaque black body goes deep dark brown at edge.  Syrupy whisky and soy sauce aroma with caramel and toffee notes.  Dry-sweet alcoholic smoky whisky taste with sugary caramel notes.  Full body.  Hot mouthfeel.  Dryish smoky burnt whisky aftertaste with chocolate, caramel and earth notes.  Quite nice, but very strong and sharp.  &#40;0.33l bottle, wine monopoly, Vika, Oslo.&#41;|2/17/2013 1:19:22 AM|Scotland||Ellon, Aberdeenshire|Scotch Ale
8592|Bock-Damm|Damm|5|4|5|3|10|2.7|Medium beige head.  Clear deep dark red body with light carbonation.  Sugary earthy toffee aroma with dried fruit notes. Sweetish papery earthy taste.  Mid-bodied.  Mild, smooth mouthfeel.  Dry-sweetish sugary earthy aftertaste with papery buttery notes. Well.  Not much point to this one.  Barely any taste at all.  &#40;0.25l bottle, wine monopoly.&#41;|2/17/2013 1:18:58 AM|Spain||Barcelona|Dunkler Bock
200563|Ægir Dag|Ægir Bryggeri|6|4|6|3|12|3.1|Medium white head.  Hazy golden body with little particles and light carbonation.  Lime zest and resin aroma with pineapple notes.  Dry wooden lime taste with resiny notes.  Mid-bodied. Mild, mealy mouthfeel.  Dry-bitter dusty lime aftertaste with resiny notes.  It's nice, but a bit sharp and dry.  &#40;0.5l bottle, Meny Oslo City.&#41;|2/17/2013 1:18:27 AM|Norway||Flåm|American Pale Ale
149905|Sambrooks Pumphouse Pale Ale|Sambrooks|5|4|6|3|13|3.1|Medium offwhite head.  Clear yellow body with carbonation.  Light mealy citric aroma is very faint.  Dry orange zest and gooseberry taste with spicy wooden notes.  Mid-bodied.  Mild, soft mouthfeel.  Dry, slightly salty, resiny gooseberry aftertaste with papery orangey notes.  Nice, full of flavour, and highly drinkable. &#40;0.5l bottle, Meny Oslo City.&#41;|2/17/2013 1:17:39 AM|England|Greater London|London|Bitter
184673|Wisby V Jubileum|Gotlands Bryggeri (Spendrups)|6|4|7|3|13|3.3|Big beige lasting head.  Clear brownish amber body with light carbonation.  Caramelly tropical fruit aroma with soy sauce and resin notes.  Dry-sweet pineapple mango and resin taste with mealy minty notes.  Mid-bodied.  Mild, soft, smooth, mealy mouthfeel.  Dry minty fluffy mango and pineapple aftertaste with orangey and vaguely durian-like notes.  Nice and interesting. It's a real hop bomb, but in a harmonic, balanced way.  &#40;0.75l bottle, Systembolaget Nordstan, Gothenburg.&#41;|2/15/2013 2:57:59 PM|Sweden||Visby|Barley Wine
146808|AleSmith English Nut Brown|AleSmith Brewing Company|6|4|5|3|12|3|Medium beige head.  Clear deep dark reddish brown body with carbonation.  Earthy spicy nutty aroma with banana-like fruit notes.  Dry earthy nutty banana-like taste with faint background acidity.  Mid-bodied.  Mild, soft mouthfeel.  Dry vinegary nutty earthy aftertaste with wild berry sooty notes.  L.ingering finish of rye crisp bread.  It's not bad, but it's not right, either. Something's gone wrong with this bottle.  &#40;0.65l bottle, wine monopoly, Vika, Oslo. Label looked like the one in the photo, including the &quot;English style&quot; bit, but ABV was given as 5%.&#41;|2/15/2013 2:57:32 PM|United States|California|San Diego|Brown Ale
157687|Qvänum Ambassadörs Porter|Qvänum Mat & Malt|7|4|5|3|11|3|Small beige head. Opaque black body. Chocolatey toasted grain aroma with earthy notes. Dry-acidic roasty chocolate taste with earthy blackberry notes. Mid-bodied. Mild mouthfeel. Dry-acidic toasted grain, blackberry and earth aftertaste with sooty notes. Too acidic, otherwise great. &#40;0.5l bottle, shared by KnutAlbert.&#41;|2/15/2013 12:16:55 PM|Sweden||Kvänum|Imperial/Strong Porter
135621|Piligrim Nord Svetloye|Pivovarnya Piligrim|5|3|4|3|8|2.3|Medium creamy white head. Clear pale yellow body with strong carbonation. Papery caramelly aroma with perfumy strawy notes. Dry-sweet honey and paper taste with oily notes. Mid-to-light body. Fizzy mouthfeel. Dryish earthy cardboard aftertaste with grassy toffee notes. Far too sweetish, slack, and papery. &#40;0.33l bottle shared by KnutAlbert.&#41;|2/15/2013 12:11:33 PM|Russia||Murmansk|Premium Lager
199236|Fliegerpils|Brauerei Nemo Namenlos|4|3|4|2|6|1.9|Small white head. Clear yellow body. Papery flour aroma. Sweet alcoholic papery taste with perfumy notes. Mid-bodied. Mild, mealy mouthfeel. Dryish dirty earthy grassy aftertaste with salty notes. Awful. Undrinkable. &#40;0.33l plastic bottle shared by KnutAlbert.&#41;|2/15/2013 12:08:39 PM|Germany|Baden-Württemberg||Classic German Pilsener
1168|San Miguel Pale Pilsen|San Miguel|4|3|4|3|8|2.2|Medium white head. Clear yellow body with carbonation. Light strawy toffee aroma, very weak. Dryish papery fruity taste with strawy notes. Light body. Fizzy mouthfeel. Dry dusty papery aftertaste with strawy earthy notes. It's not bad, but low on flavour. &#40;0.33l bottle from some supermarket in Hong Kong.&#41;|2/15/2013 12:07:25 PM|Philippines||Mandaluyong City, Metro Manila|Pale Lager
120262|Shepherd Neame Canterbury Jack (Bottle)|Shepherd Neame|6|4|6|3|13|3.2|Medium offwhite lasting head.  Clear amber body with carbonation, relatively large bubbles.  Earthy caramelly nutty aroma with metallic toffee notes.  Dry-sweet toffee and caramel taste with nutty earthy notes.  Mid-to-light body.  Mild mouthfeel.  Dryish vanilla and caramel aftertaste with earthy toffee notes.  Nice, drinkable, with character.  &#40;0.5l bottle, Meny Strømmen Storsenter.&#41;|2/15/2013 12:05:15 PM|England|Kent|Faversham|Bitter
13461|Hook Norton Hooky (Bottle)|Hook Norton|6|4|6|3|12|3.1|Medium offwhite head.  Clear amber body with carbonation.  Earthy caramelly strawy aroma, quite light, with toffee and paper notes. Dryish papery caramelly taste with earthy notes.  Mid-to-light body.  Mild mouthfeel.  Dry spicy dried fruit aftertaste with papery caramelly earthy notes.  Not bad, but a bit austere.  &#40;0.5l bottle, Meny Oslo City.&#41;|2/15/2013 11:12:42 AM|England|Oxfordshire|Banbury|Bitter
185850|BrewDog Hello, My Name is Beastie|BrewDog|7|4|7|4|14|3.6|Big offwhite head.  Clear amber body with light carbonation. Resiny orangey pineapple aroma with salty mango notes.  Dry-sweet pineapple and mango taste with herbal spicy notes.  Fullish body. Mild, soft mouthfeel.  Dry salty pineapple and oranges aftertaste with spicy notes.  Nice, smooth, and highly drinkable.  &#40;0.33l bottle, wine monopoly web order.&#41;|2/3/2013 9:12:19 AM|Scotland||Ellon, Aberdeenshire|Imperial/Double IPA
5384|La Guillotine|Brouwerij Huyghe|5|3|6|3|12|2.9|Huge offwhite coarseish lasting head.  Yellow body with strong carbonation made hazy by lots of little particles.  Fruity spicy aroma with metallic notes.  Dry-sweet earthy fruity taste.  Very, very weak flavour, strange.  Mid-bodied.  Mild, soft mouthfeel. Dry mealy fruity aftertaste with earthy alcoholic herbal notes. It's OK, but very low on flavour. Strange.  &#40;0.33l bottle, wine monopoly web order.&#41;|2/3/2013 9:11:50 AM|Belgium||Melle|Belgian Strong Ale
191084|BrewDog Paradox Isle Of Arran (15%)|BrewDog|7|4|6|3|12|3.2|Medium brown head.  Opaque black body.  Resiny toffee and milk chocolate aroma with earthy mouldy notes.  Dry-sweet alcoholic honey resiny earthy taste with burnt milk chocolate, sherry and whisky notes.  Full-bodied.  Sharpish, powdery mouthfeel with some heat.  Dry earthy cocoa and honey aftertaste with alcoholic resiny notes.  Interesting, powerful, and fairly harmonic, but ultimately a bit too powerful. &#40;0.33l bottle, wine monopoly web order.&#41;|2/1/2013 2:51:24 PM|Scotland||Ellon, Aberdeenshire|Imperial Stout
103425|Pretty Things Baby Tree|Pretty Things Beer and Ale Project|7|3|6|3|13|3.2|Medium beige head.  Deep dark red body with floaties.  Fruity spicy bubblegum aroma with oily soy sauce notes.  Dry-sweet spicy fruity bubblegum taste.  Full-bodied.  Mild, with some heat. Dryish spicy dried fruit and earth aftertaste with roasty soy sauce notes.  Nice, but a bit closed and heavy, and flavours don't harmonize completely.  &#40;0.65l bottle, from Kihoskh, Copenhagen. Batch 22, from summer of 2011, which might explain some of the deviation from perfection.&#41;|2/1/2013 12:18:01 PM|United States|Massachusetts|Cambridge|Abt/Quadrupel
184507|Mack White Limo|Mack Bryggeri|7|3|6|3|13|3.2|Huge white lasting head.  Muddy opaque deep yellow body.  Strong orangey tropical fruit and coriander aroma with wheaty notes. Dry-sweet resiny orangey taste with fruit and coriander notes. Mid-bodied.  Mild, mealy mouthfeel.  Dry fruity strawberry chewing gum aftertaste with wooden honey notes.  Lingering bitter dandelion flavour.  Interesting and good, but perhaps a bit muddy and dense; could use a little more drinkability.  With a little bit more tweaking this could become a truly great session beer.  &#40;0.5l bottle, gift from Rune, to whom many thanks.&#41;|2/1/2013 11:26:45 AM|Norway||Tromsø|American Pale Ale
188789|Nøgne Ø Red Horizon 2. edition|Nøgne Ø|7|4|6|3|14|3.4|Small beige head.  Hazy deep red body with light carbonation. Intensely fruity cough drops aroma with lime and licorice notes. Bitter-sweet fruity peppery lime taste with polypodium vulgare &#40;sisselrot&#41; notes.  Full-bodied.  Mild, soft mouthfeel, slightly oily, with some alcohol heat.  Bitterish earthy lime and fruit aftertaste with sisselrot notes again.  Like RH1 it tastes like a vermouth, but in this case a slightly unclean, earthy one. Very complex, full of aromas that are hard to identify.  It's a really good and interesting beer, but sadly doesn't rise even to the ankles of RH1. &#40;0.25l bottle, wine monopoly web order.&#41;|1/25/2013 2:03:18 PM|Norway||Grimstad|American Strong Ale 
95323|Huvila Arctic Circle Ale|Malmgårdin Panimo - Malmgard Brewery|6|4|7|3|13|3.3|Small beige head.  Clear deep dark red body with lazy carbonation.  Earthy fruity birch leaves aroma with wooden caramelly notes.  Deeply unusual aroma.  Sweet-dryish earthy syrupy birch leaves taste with rye crisp bread notes.  Fullish body.  Dusty, slightly sharp mouthfeel, with light astringence. Dry roasty earthy rye aftertaste with spicy birch leaf and syrup notes.  Really, really unusual, but good too.  &#40;0.5l bottle, wine monopoly web order.&#41;|1/25/2013 2:01:08 PM|Finland||Malmgård|Spice/Herb/Vegetable
124708|Weiss Damm (Cerveza de Trigo)|Damm|6|4|5|3|12|3|Big white head.  Hazy yellow body with light carbonation.  Spicy wheaty oily aroma with yoghurty dried fruit notes.  Dryish, faintly acidic, wheaty mealy orangey taste with earthy notes. Mid-bodied.  Mild, mealy mouthfeel.  Dryish earthy, slightly dirty, wheaty mealy aftertaste with fruity notes.  Strange. Partly very good, but marred by that dirty earthiness. &#40;0.33l bottle, wine monopoly web order.&#41;|1/25/2013 2:00:43 PM|Spain||Barcelona|German Hefeweizen
198882|Schouskjelleren Simtanum|Schouskjelleren Mikrobryggeri|7|4|6|3|13|3.3|Medium beige head. Hazy reddish amber body with strong carbonation. Resiny gooseberry catnip aroma with blackberry and oranges notes. Dry-sweetish orangey resiny taste with gooseberry and mango notes. Mid-bodied. Sharpish mouthfeel. Dryish papery blackberry aftertaste with orangey resiny dusty notes. Finish actually has a flavour similar to the aftertaste of durian flesh. A bit harsh, but still nice. Complex aroma. &#40;0.4l draft at brewpub.&#41;|1/23/2013 12:11:19 PM|Norway||Oslo|India Pale Ale (IPA)
